epoch,train_loss,val_threshold,val_accuracy,val_balanced_accuracy,val_precision,val_recall,val_f1,val_roc_auc,val_pr_auc
33,0.0011964187220862683,0.5,0.9982795245869981,0.5,0.0,0.0,0.0,0.9843801087253395,0.7013575110598087
34,0.001163365995556027,0.5,0.9982795245869981,0.5,0.0,0.0,0.0,0.98325064862306,0.7001667602270246
35,0.0011747546151035025,0.5,0.9982795245869981,0.5,0.0,0.0,0.0,0.9846100742672955,0.7084790237489171
36,0.0012094527629376974,0.5,0.9982795245869981,0.5,0.0,0.0,0.0,0.9845668267482854,0.6536684249738947
37,0.0011326388477188854,0.5,0.9982795245869981,0.5,0.0,0.0,0.0,0.9836287503763969,0.6974622491317831
38,0.0011436169559950243,0.5,0.9982795245869981,0.5,0.0,0.0,0.0,0.9847607227826853,0.6982531541552766
39,0.0011383210821913744,0.5,0.9982795245869981,0.5,0.0,0.0,0.0,0.9850632759654694,0.6868941651572271
40,0.001170256360180252,0.5,0.9982795245869981,0.5,0.0,0.0,0.0,0.9850006478155338,0.6955532259903974
41,0.001171355473656977,0.5,0.9982795245869981,0.5,0.0,0.0,0.0,0.9842797960152705,0.6962078202302502
42,0.0011657103195557828,0.5,0.9982795245869981,0.5,0.0,0.0,0.0,0.9844762940788224,0.695235516915917
43,0.0011257587163151425,0.5,0.9982795245869981,0.5,0.0,0.0,0.0,0.984829003616641,0.7011373908502886
44,0.001150821453074696,0.5,0.9982795245869981,0.5,0.0,0.0,0.0,0.9849615276531096,0.6921039268445989
45,0.001150952639548989,0.5,0.9982795245869981,0.5,0.0,0.0,0.0,0.985213296404857,0.6846226980448586
46,0.0011544765562619345,0.5,0.9982795245869981,0.5,0.0,0.0,0.0,0.9849131658009387,0.6864375597498046
47,0.0011826854298158944,0.5,0.9982795245869981,0.5,0.0,0.0,0.0,0.9854774472263625,0.6910480189657551
48,0.0011407157788220457,0.5,0.9982795245869981,0.5,0.0,0.0,0.0,0.9851867377624774,0.7042412920624165
49,0.0011217977032887967,0.5,0.9982795245869981,0.5,0.0,0.0,0.0,0.9852384194449458,0.6926461154232967
50,0.0011448607606461974,0.5,0.9982795245869981,0.5,0.0,0.0,0.0,0.9849014118071828,0.7002169237651391
