threshold,precision,recall,f1
6.7690737e-09,0.008480758708736094,0.9489795918367347,0.016811279826446653
6.7697443e-09,0.008481532147742818,0.9489795918367347,0.016812799421477512
6.7704806e-09,0.008482305727836556,0.9489795918367347,0.016814319291249838
6.771255e-09,0.008483079449055915,0.9489795918367347,0.016815839435838146
6.771618e-09,0.008483853311439518,0.9489795918367347,0.016817359855316974
6.771914e-09,0.008484627315026002,0.9489795918367347,0.016818880549760898
6.7731807e-09,0.008485401459854014,0.9489795918367347,0.016820401519244504
6.7748864e-09,0.008486175745962223,0.9489795918367347,0.01682192276384243
6.7754673e-09,0.008486950173389305,0.9489795918367347,0.01682344428362932
6.7761396e-09,0.008487724742173953,0.9489795918367347,0.016824966078679848
6.7808585e-09,0.008488499452354874,0.9489795918367347,0.01682648814906873
6.7818413e-09,0.00848927430397079,0.9489795918367347,0.016828010494870687
6.788079e-09,0.008490049297060435,0.9489795918367347,0.01682953311616049
6.788157e-09,0.008490824431662557,0.9489795918367347,0.016831056013012918
6.7890507e-09,0.008491599707815925,0.9489795918367347,0.016832579185502784
6.789387e-09,0.00849237512555931,0.9489795918367347,0.016834102633704925
6.7923924e-09,0.008493150684931507,0.9489795918367347,0.01683562635769422
6.7941412e-09,0.008493926385971321,0.9489795918367347,0.016837150357545554
6.794997e-09,0.008494702228717574,0.9489795918367347,0.016838674633333856
6.796448e-09,0.008495478213209099,0.9489795918367347,0.016840199185134064
6.7974466e-09,0.008496254339484744,0.9489795918367347,0.016841724013021166
6.7986266e-09,0.008497030607583372,0.9489795918367347,0.01684324911707016
6.799029e-09,0.00849780701754386,0.9489795918367347,0.016844774497356073
6.8019084e-09,0.0084985835694051,0.9489795918367347,0.01684630015395397
6.8077486e-09,0.008499360263205994,0.9489795918367347,0.016847826086938925
6.8100214e-09,0.008500137098985467,0.9489795918367347,0.016849352296386063
6.815089e-09,0.00850091407678245,0.9489795918367347,0.016850878782370515
6.816727e-09,0.00850169119663589,0.9489795918367347,0.01685240554496745
6.8187687e-09,0.008502468458584751,0.9489795918367347,0.016853932584252062
6.8194312e-09,0.008503245862668008,0.9489795918367347,0.016855459900299567
6.819887e-09,0.008504023408924652,0.9489795918367347,0.016856987493185222
6.821044e-09,0.00850480109739369,0.9489795918367347,0.016858515362984293
6.82137e-09,0.008505578928114139,0.9489795918367347,0.016860043509772094
6.821487e-09,0.008506356901125034,0.9489795918367347,0.016861571933623948
